,msno,city,age,gender,registered_via,registration_init_time
1921873,aXGWGKYuN9oyt2KPs5J03wQLbzSGbzY2p2BgAsvwljM=,3,20.0,male,4.0,2016-08-19
1921885,VO/m+4jmvLvie9Du8AZcuvNoYRgmK9VDUYnEkRcG4Dk=,13,25.0,female,3.0,2016-08-19
1923387,JPc39wGRfB27iCqIgIAP7dtwRxtKitUxKDjxNd5l5sA=,22,21.0,female,3.0,2014-02-26
1923398,jZOFjf3fX2uXKjwds9Hm54r6MYvo0XKd1cjQA+P6b8U=,1,22.0,,9.0,2014-02-27
1924018,zgpdgKkQi3Qfhzawwb6cQDArJXJ3ggyAEZ6EEV/ZOuE=,5,25.0,female,9.0,2006-04-07
1924051,QQ0T4UYkh7g+SBaAMrW+ZgF+GtPOS2STRKka3rHFDMo=,1,,,7.0,2016-03-19
1925149,n0RsefoXTvG2gw+OlgEn8pFX1ZsR2UxOKpPGr6m4AGU=,15,31.0,male,3.0,2014-04-22
1925366,9HjDG6Wg1S4vEDdKQZy0vKASH46tNua8LkJUr5XCME0=,1,24.0,female,4.0,2015-12-03
1926374,ptVrjBbnTA/4esf+0AgMXh9Ox6xbKWiGptKrkvHlZpA=,5,,male,3.0,2013-01-19
1926570,6omCaxvhnH+tE83/CVz9kL+JP/e0FoqjK/bN6UgBWyQ=,5,23.0,male,3.0,2013-02-12
1927948,FhveKzYHzMEK6Nr46Y0LPHg7c9sxQLibBj2hJME7BH4=,13,,,3.0,2013-01-08
1928390,dnESU49S5DbLpUhuPG/7TPv0sOwIhvQsxCYBZQVMjGw=,1,18.0,female,3.0,2015-12-14
1928698,UuU9Yg0vzq0OKyMFe5kKIMmqZ0q2L1uRmcNMXdsFdYs=,1,,,7.0,2013-01-19
1929364,FXxvbXvncal4kZF8v+2NG5ONUvobVgmlO0xThg+nNvU=,1,,,7.0,2015-12-01
1930323,Ten/iTHq2obtKVfGTxieLt43/mqXt6uBea8tflxmIHs=,1,,,7.0,2016-01-22
1930785,Rn28feHsVAa3ZUxIuYV0BDI1pgdv9JpahoEsXDh4pvo=,13,26.0,male,9.0,2005-09-24
1930872,m6sTnBsZcrWZKJEy9cXfKWxbLh8qfawr6ewVKKec/00=,11,32.0,male,9.0,2005-12-26
1930901,U6KzChXoKg/pmRpOypzENKuQCelKNNRrJ+zfN9jC2/w=,5,24.0,male,9.0,2006-02-15
1930959,KFafCmfr+5Zd+Oq/sIFIVPQflI7PQGRjE0o9kz1ucQo=,1,,,7.0,2015-12-25
1931771,F+ouPG5FH6h9udGZgY0bYLPZ5A53mi0WbYuFqzSFu30=,4,40.0,female,9.0,2008-07-06
1933259,MUQA/WEKuvFvcnF6hSAkCloJ1Z+5kQKr/Q9z1CXeJz0=,1,,,7.0,2016-01-28
1933938,uC3at9w4JYvmi6TwxTGpiZs5yvh5hUr32leCsqCQoOw=,1,,,7.0,2013-12-19
1933967,h58cmguzkC/KDuRr25YM5GPrGx7zGy6WcxRn629KZ5w=,5,40.0,female,3.0,2013-12-23
1934110,aE2R6yYf1q34rfL9gDjxgOCX08D2VrnnOt7ksp1FcVo=,1,,,7.0,2014-01-12
1936018,9SkSerEPecuB+LUss0aVVnmPAPBLs5iZjGV9VAMCAiQ=,15,31.0,male,3.0,2014-05-17
1936575,DvR6OPxJur+PpnbO1FhBr8Z672cHA/qzRQbTof0aJq8=,1,,,7.0,2015-11-21
1937781,gz+m6t+2jpqtt2LmUYpkYxHcyBD2UWoASJCE0QGiELA=,1,,,7.0,2015-11-23
1937853,fVkqO83M5tGG3VbEOOuuVj3NJdWBIhbtAQ51gnumnZo=,15,34.0,female,7.0,2015-11-25
1938605,wh2NeYJA+k4R+TbcNAKR/DHK1EYkDfFKgKxixoSxNIw=,13,20.0,male,4.0,2015-10-29
1939501,wK5CGAHj6ehcFAfudSjcUrfX5Piwwx01j8XkPX+b2Pk=,21,20.0,male,3.0,2013-03-26
1939566,fo+2lGbkqpMZ+RReLUY58ieoLuQulVIzreSrx76jctc=,5,,male,7.0,2013-04-09
1939870,D2EgB8VYzTSu2yzN4J99sK+Vn40/coQe1ObHROysJU8=,5,53.0,female,7.0,2016-04-01
1940049,xalvdXilhyBqDXz4+J151bbm2BJitWHxkw8CtOA9iNQ=,12,,,4.0,2016-04-08
1940313,Ofp1/tKGHzYxYMQhMa8/Sy2OJ4SH/qmq+1KpjPRuLos=,8,27.0,female,3.0,2013-11-02
1940869,rHwrZN4q6+J2L1vX7f4GSd6+HLa6xOzJXieI2WZN6No=,1,,,7.0,2016-04-17
1941233,3zHR5JU2CHi4UVjFSbz8sa+e5Y0kqcrgOqlF4SQwpZA=,1,,,7.0,2016-05-02
1941646,KL+QVxnJ670wjFH5zJfcUVjEpqLglBCeSkqJacrBYY8=,1,,,7.0,2015-07-26
1943467,2aNOOs0viHVbEdMAtGiuElu8Hmb7uhIcw5v2SU/wQBk=,1,,,7.0,2012-01-21
1945712,Q/+yA8ipNupunHQxYZfqd2piBGJggkTDPUG+6tC2WQ8=,1,,,7.0,2015-11-12
1946065,nzoFcz2A9nacRiKpI0gZNbjwSu/xKk5KYC8V/Dh/9lk=,18,26.0,male,9.0,2007-04-28
1946119,uv+aRg64cR/yrUDIjUYjuvhVBu2tDpVpfnpBm6wy4eQ=,5,29.0,female,9.0,2007-06-09
1947393,o955NTHHiCb4GbOSqFIKQ7w02KUxxeIGS0VS+95l3VI=,6,25.0,male,7.0,2011-02-18
1947907,EYKsVuK/sG9wiL+ryGlIZCS6DUo4AZ7xJ3Q+akarYzE=,1,,,7.0,2015-09-02
1947996,U871MlQGKaVJdipEcHTkKPRKteyep2bXovnhPkPB4+o=,1,,,7.0,2015-09-07
1950286,QmxwSK4IAUW7ZXCe6n9Ws3ydJg84sUlLDUO7jpZYvCU=,1,,,4.0,2015-11-23
1950300,VrsQ47MkJAU7hnY40dYhcF/stlHSRGdSbfGMNvStlJU=,1,,,7.0,2015-11-24
1950579,D3umaXff6b+E4ffIGHsd6BjedzbPMmfA6KQ5AZrT3C0=,15,36.0,female,9.0,2007-07-12
1950629,jJ4aXRL7jTcuf4foIjajr2DIlCeTWsbM1o65PJv13TA=,13,21.0,male,9.0,2007-08-23
1950882,oIEv0MhwPFdLgNVebWEDZy7DChbxVgKhDFC/nsjFWLM=,18,22.0,male,9.0,2009-04-17
1951100,ZwwQ/QZZoNNcvtz2CLG27Njs/gTMjpZitjFw9Vm/ouE=,6,37.0,female,4.0,2016-01-10
1951428,qkTmD4PH4LMG8bYxvC5bSfIo0CrcQ77mxm0BoFRFCHo=,1,,,7.0,2016-01-21
1952308,4wGnBfBcKRpBQGnClOpOp7/fxUI2MCca4EPHtffKBGU=,4,48.0,female,4.0,2016-06-09
1952820,kVouskfPzbeAkm2MwyCFRVJYbckWDJ5u7z8KBcN6ljA=,1,,,7.0,2016-06-27
1953145,NUwiEHwRcVf3vthQcxd1+57psbf0+c5KuqL9JOsHI0U=,1,,,7.0,2014-05-25
1953152,t6DHZFn2pmWnuSFXM6TSGXRpUQH/tU5YARk4TQZG52E=,1,,,7.0,2014-05-25
1953424,FcNrZxsrsFbhWCuuvBgL+4+d5qmAoOuC+RX5P8YSEVI=,1,,,7.0,2014-06-16
1953512,YgUX9oQzYxUHuO0UqKJdmLctZ6o2IP0aBPrbMKWm0iE=,6,65.0,male,9.0,2004-11-06
1953515,z8DXHBFRLmGWSHLYfDor8sc4P8lARMcDNF1U64vbXTY=,15,35.0,male,9.0,2004-11-15
1953691,qitKRzht4DbIiAsI9HR3Xo9ec4CxVaDa8FCHnbHI6uM=,5,43.0,male,9.0,2010-01-28
1953846,o8F7MD026PwS1o6b+fHqdywln+Bt5JOahMaZgB3jggU=,1,,,9.0,2014-06-04
1954273,fVBXkaSCXljkJvZjPSkgv0n8ECaMvWjCYuRy5jnzML4=,1,,,7.0,2014-07-12
1954332,0Y5DWhaqawKiLSD3g6KAv3n+ZPOCRvbwyjABx1mc8FU=,5,20.0,male,3.0,2014-08-07
1955157,HvbBClb+EkZ4jbphIVFyIL/2NN8hv1V6Tj7EEJYBr+w=,13,25.0,female,9.0,2007-04-14
1955360,i8Kb+OBKkRbMZI5lIZ4IVSS6tXLFzCIdADaLn/3kZf8=,1,,,3.0,2014-07-03
1955615,2GjB5lf6IpQFmeDo0o7eHR4yFy8b1aThJ9dgZZ4wuNE=,22,20.0,male,3.0,2014-07-28
1955719,XcKw77nQJENpLjlsVHO8yjpFJzmpdospNnl5YjaAdnM=,5,30.0,male,7.0,2014-05-05
1955742,HhKobiDSpzJso/D8s93SaiO8dHu4jvV1mSHZRUWARKM=,4,44.0,male,3.0,2014-05-08
1956387,stTTYUaApakz7MOBNey91k4zsneeArHVYJ0Na/MDG2w=,4,50.0,female,7.0,2011-06-29
1956430,0bmgCL94KsyHSrvF3sO9qmKYYtFD5wadi2rTYprrek0=,1,,,7.0,2011-07-29
1956509,+u9BTyAVomBps+3jAsAMAYqRf9rL/Disf/ftafNDKEI=,1,,,7.0,2014-06-10
1956767,Zrk/S/fg+sKiXzFt+pDfnzOBd+i5h5KXdQsxtKOmSeU=,5,20.0,male,7.0,2014-07-03
1957249,oY6TgM6ubc1/MW/QyEAaBoHjfpE/oyyaOCho0UfWRHI=,14,19.0,male,9.0,2007-05-27
1957633,SRFjnk75lA+NFk/FHoy2OjCDYYe8bHdypUSKjiv4Vyw=,1,,,7.0,2017-02-17
1958549,+PgWUt6Xtw3kgzGNs26OPq7TDaX020Y2OnT6JnSqIR8=,14,36.0,female,9.0,2009-03-27
1960768,oGmseebwHG2Irw3UBB1Hw4qNb/NLj3juATXsAwXVC9Y=,4,35.0,female,9.0,2011-08-17
1960783,TXPpvD1jJ6P2rjurLNDv7KQu1VJv+lFmAyVdk9FQ1QM=,13,22.0,female,9.0,2011-08-22
1960936,P6Ia3r1c5gVADUKrzlBftx/PNjk5BXFKNyD/RriDPN0=,4,21.0,female,7.0,2014-10-23
1962060,9biX2lq3JI8eBU9/MVCe/o9+K7ZHw3a5ICpXZtqcg+s=,11,31.0,male,7.0,2017-01-07
1962373,lgDtMVAnn0cgqso0A+yXMCFsA/mr0b/v/0rEbVL00OM=,1,,,7.0,2017-01-23
1962501,Zomn0N3c6wareKsW8FceBlx7ycliuMLp83ptprGkG/g=,5,27.0,female,7.0,2017-01-29
1964069,O4zOMWKKiATKJLtY3NTo62zQ9bX4ViGlOKVXTtJDaKk=,13,32.0,,7.0,2013-07-19
1964237,aWgzSyuw4f5yRaMkDTXUrkdOSO4C22IIexDjLe1c8HY=,1,,,7.0,2013-12-04
1964514,oz4RzRZST9RKckLHhKkZ92jt66ngI5YtRZwVcsUyIvc=,22,19.0,male,9.0,2012-11-13
1965010,N95SL2OvIwbufB9CvLPAO/SY1cFvTN3lqMCfL8Dy2CU=,1,,,7.0,2010-12-23
1965053,57J9Kb0uvWs4WYY02OphgtH+vqrUjl0+LlMY56xwXcE=,1,,,7.0,2011-01-13
1965613,6efOg5Vvlc8yOhB/e+yCSOVM5501i5ZbFFvbNCHF8co=,6,30.0,male,9.0,2005-11-19
1965881,ancAQDHfCvqtj2zYiQ7S4n2wd7tDgOyjGey+mq+JOfk=,5,21.0,male,9.0,2014-05-16
1966084,HLQ0Neb5nuKCsGkDQawWJXmBjQZ50yH7DPybpWl97wM=,1,,,7.0,2014-06-03
1966792,b8qomMgXvAz4nMFg5cx9o34CoUP11FmRHDFKEVy6WT8=,5,21.0,male,7.0,2014-07-16
1969073,jhsMEnnXdn51xH+o+tKHzyxx2a6usVvGCQVMt3Fgogc=,1,,,7.0,2014-02-02
1969737,eyhZ6ApUh96l3HQGEbk5cfLM6Dl3Mv9jWfYhIt/XYoY=,1,,,7.0,2017-01-06
1969825,JQVQnMhQXRYhJAsmA+oCc6ZSLByMvEwZDbnraj8WUF4=,1,,,7.0,2017-01-11
1970404,BhpT+OJ4sWyrh8hqFeqBnGHxd4Iqhx22oCFjlTRG/Ow=,1,,,7.0,2016-02-26
1970660,9V4zn+6DIGzppxCVYzTp4b6VKjzzRu4eBaZ4o8B3dk0=,1,,,7.0,2016-03-06
1970684,AbjkNgTE2HrVHbDsZz4L7RZxwC4jkOLZzTR8u4NRoGA=,1,,,7.0,2016-03-07
1971568,6ZPW5DfzwwiNiRj/MXYdqxE9tkcEFusstzPEUzJbdJo=,13,22.0,male,9.0,2014-11-16
1972017,82gHO4PSf2m2nF2EURjOdsVGAFmTlS176WjrhaBHF2A=,1,,,7.0,2014-12-21
1972382,7tbP/rqXuURlXy4Uy2Q8HOjZ8lL5AepmyoN80sHMV2c=,1,,,7.0,2011-01-19
1972753,L4vIYMKSYc7DDMHpS93lPWnc6CUDEH1oIh5vTjs8Uuw=,1,,,7.0,2014-10-24
1973204,V0Lzl4d7fO2URaS/YQpS+XflsDp910DX4t9uXhtDdO0=,14,,,3.0,2014-07-03
1973305,ZomyP/zJ2bIrgpxxlTbDt/xm/FumMjC5xtGygt1c/8U=,1,,,7.0,2014-07-12
1975002,Mks9RvMe34a/yDdtxc++3FWcVF2Vy5UFKHZKyt4FYLw=,6,26.0,female,9.0,2010-06-28
1975066,0yE4xbCk5MIHT6a9cGDCfIaOtxJMZErkmLXBeMkPGUA=,13,44.0,female,9.0,2010-08-27
1976311,QB7we8z1HY0h5ueN/d/7as5l5hECkfld4rUSMmDqtA0=,13,45.0,male,9.0,2004-10-25
1976538,QpooEhSBXMh9XOcHEpP+DNtbjBIx7fWKlzOv3ovlEmw=,22,29.0,male,9.0,2006-09-11
1976817,Wwll6Qoy0RR03F2Rf038+F/y4J5Hq3x77tRnX8MzsGU=,1,,,7.0,2011-10-11
1977007,blMMFUF1LSJQ/MnLWP86R1abqRsLRup3dNXbUsBK520=,15,29.0,female,3.0,2014-11-01
1977882,7XzKdS9Twy5iCOBbJJOCWSDO3yQZe6N9X406X/RNUmE=,6,23.0,male,9.0,2014-05-05
1977974,I+dsrOOQ2bVGDMz84gfVUottvj/W9xBVZ17uF9VQiLI=,1,,,7.0,2014-05-14
1979018,QRFaXJXm80VLB5jqZmNck3YmigRh8mpZo7WG3DA85ZE=,12,26.0,,9.0,2014-06-15
1979060,TKNegm6aDNkGAQyjYY75o9fT7myLafYK1Y0/99hnwOE=,15,39.0,male,9.0,2010-11-18
1979091,vpTwNbTVPzYM6GVwI1+ICNo1ZMaWGs7qDrPSkbJY63U=,13,33.0,male,7.0,2010-12-09
1979092,Mlkf5rrcbDFI0LoPadj3Z8dt4ll7Lns7+E0TI+jCHpA=,1,,,7.0,2010-12-10
1979136,C5/05jE64YCj6twGUV2WbFec//n3kHdXgUaETicukmE=,4,16.0,male,4.0,2016-07-15
1979170,X31oknVxKvd9mxI6r1GYd0+h61P4zC5GW0kawsVrp94=,1,,,7.0,2016-07-17
1980006,VmeKfm1ihdBboLmo1ssoL1341igMD2sYdMCcfjGwnis=,1,,,7.0,2010-04-18
1980305,L9LXFc+ZX6KpaUHcgiTzQTqr4ol5YXibFiNWvUWGxp0=,4,,,3.0,2013-08-19
1980520,lZo78qsLnCRQSmorimc83+QFaO2faw7rANyJ74y5Zmo=,15,25.0,,7.0,2013-09-21
1980579,6LvjYinJ8bIDwTE11qpftt6X/uNU+/IwYVBnR2AFFc4=,1,,,7.0,2010-12-26
1980726,uCDb+1XQs4gD8/a5Xq1NiRcLNVWOGb7yz/ijBq13GNY=,1,,,7.0,2011-03-11
1981207,0gStMUpqLswJifVvD40Tiym3RYmLJjruHlFxyaZbxwM=,7,27.0,male,9.0,2010-03-06
1981210,7GBqGKY/kCeLYlSFQB+1rRwYNJralZjQuhxbMgqNzbg=,13,21.0,male,9.0,2010-03-07
1981779,3eH3mDhkkoxL8tLyoWuDtOX6CCj342TkwOMpO3GZoSQ=,4,33.0,female,7.0,2011-01-11
1981790,JAUkkQ+u+cL7D/Wv7N2JhfZ+ngB/EiE/ijwdNWwIN9c=,1,,,7.0,2011-01-17
1981835,lVZgMNtFjKyIIdTLyi8YWUzsqj6PnTeF3ZzU86ufo2A=,1,,,7.0,2011-02-08
1982309,ObyxxJM+o/qlbxq/dpUAHv48+3RnxX/gXT3Sqaedqos=,13,36.0,female,3.0,2012-12-04
1982985,NiCMd+KTCsKKqSJConKGaaWEg21JxnLPaJCglKqztiE=,1,,,4.0,2016-11-20
1983059,9P00iAlt7Xq80LkDVm1Lp35tiygctCal3use78OQGJI=,1,,,7.0,2016-11-24
1983428,8XZ9CiWdXN7GjaxhPdPsgBsB3Jor2kQu1c6bvaInZD4=,1,,,7.0,2016-12-10
1983650,j9SfibVOuo6XyMv88+PPctoh+5HCtPRWDPM/I2hmzaM=,13,15.0,female,4.0,2016-12-19
1983678,0AxAsTLmqlxIyyiYtDYX44DzuGKjgv1OSKlDDmHuv3s=,4,29.0,male,9.0,2007-09-18
1983885,dNT5HCM600F+4HbfqmC5WFj/krWIJ20iNogwTGuiru8=,1,,,7.0,2011-08-18
1984058,0+LJ+jtptniLur/ceGiuePBy6tRB2gVjHV229j9IWww=,13,,,9.0,2014-10-25
1984225,2ImkTwkCiDoer8HJz2XIk/BrUUcNkEZGqymDBxISpBU=,1,,,7.0,2013-06-06
1985379,eH/5Fg0nAbMc3kB3BlLYjLOS6tJ8coEkxCcuTVSasGA=,13,36.0,male,7.0,2011-04-28
1985448,hoP9VTSys09n/MRHuCsGdBc331tzLXPf3XHhyhl8+Lk=,13,21.0,female,9.0,2009-10-17
1985970,T6A3ZZJKx7q5w66ZHbM/MzCtDAAubXFy8OkBIYvXoMs=,13,50.0,female,9.0,2005-10-30
1985992,eNbTuS5CQ2dFnRXcw4ozqxXsKtM9G9ICchxtoCeC5Z4=,6,35.0,female,9.0,2005-11-28
1986042,YNKK+wql9sDLRGzKEOP909gxYrtBIkKogq9yWYHcLIA=,6,29.0,male,9.0,2006-02-27
1987097,FZsswC4ubQnM4cb97sgGDh0Y5hPiapXyRIZL3ONvlfg=,1,,,7.0,2013-08-20
1987103,LQ0OQRyg2jY/jwE8ac5t9wEsdS9nKYoGZoj9MkOo9gk=,13,44.0,female,3.0,2013-08-21
1987578,NaU+SNz+/ZpPs1YNIau5sM+hBxV3vgfmYAuMhtmQBt8=,1,,,7.0,2010-12-26
1987740,HS+Jw3jR8YnEAfY+zHSR2//0WcJHayO3TqeF4uZSIK8=,1,,,7.0,2011-03-04
1987772,gwZyVGRXGMbZpUZVRgyfuB8WRoFEuu+nIARamrw45UI=,13,34.0,female,7.0,2011-03-19
1987844,nqUAEMsFSc0k3mzWiOhW0TgyrUUMiIPcdcMqsoqgdLY=,1,,,7.0,2011-04-28
1988274,d77LxuVSpoDuhOGM+wLXPn3FhCNGB0TtHzE38IcCpAc=,1,,,7.0,2013-06-12
1988338,eZqJyAaN0qYSbi24cNiJHvCarNMVeFB5DJtIDTSjn1g=,5,37.0,male,7.0,2013-06-24
1988390,BuMSXOBSLzvSXSdN1BvClv0O053jaSqbvARPgguH0B8=,6,29.0,female,3.0,2013-07-04
1988878,ufvSkqEsnhqVCZSjiU3TS9iG3SFrgUPQGli+X8mw32E=,13,,,9.0,2012-03-05
1989037,wsdADq5adOdPh4tOENc8EYhbr+AvVDGcHAlgaAFBiW0=,1,,,7.0,2012-05-01
1989052,5rbU78RVMKdQ5RM+q1+YMLBzY1WtDn5udDJQ3PNXYtA=,15,28.0,male,7.0,2012-05-09
1989206,qL3JPPjy3mFEieRt9/sJtf5IEJNQstziLoS7UkJMaUQ=,1,,,7.0,2013-03-19
1990368,gUCjwchypH7CCAdbldGbGyBRgW86+zJfgqVEaRHBaik=,1,20.0,female,3.0,2014-08-16
1991135,2uJUD9Nhvl5aF4YoOUqDCRWQNkzIGJHrM/ptv9L56rU=,15,,,3.0,2014-05-06
1991687,u1fRYWmRhpHoWXxbllwKUkJWFKwrBu89ccQ5Gy1pZkk=,13,47.0,female,9.0,2007-06-08
1991746,0QXyMN1imz1EnmsuoAGEz5EV1rP/fshfuoEB5WSTNzU=,14,24.0,male,7.0,2012-01-31
1991859,nQpjCXeL75gBYxmwN07/rPMD8HMPdBtvE5mvZ4BtzCo=,1,,,7.0,2012-03-01
1992101,kEkBb3USr3EjQDdullosgAfqWfAXXP2mwg/oBW4kEPM=,1,,,7.0,2012-05-29
1992246,L3e0sBnv2JJZfc2hjIbiYABoI6vk+f/FgTkl1r6IhmI=,1,,,9.0,2012-12-23
1992487,eBINZCgYwq5611JjjWlxzB3qkZIqg2/8mYA9T/gVt80=,1,,,7.0,2013-09-13
1992523,GnHjbFrBFj82dmRkeZuRmlFjM0eR7t/JYq3hDNgLjkA=,1,,,7.0,2013-09-17
1992745,uBJYJzBU94h1miCk5MdAY7qxzc9HNjI71Vi/ParDDFk=,1,,,7.0,2013-02-01
1993099,S6hKHx50r8UJyFVowwAKdpVOfumvZr/qq1K2LTr+CFM=,4,29.0,female,9.0,2008-06-03
1993836,ePvoZ/21Cdtl5kq/ZCfNOMfrZoVPpzXc8cQbSfDtHKU=,13,38.0,male,9.0,2004-09-03
1993843,EF7whPv8eD/pf3Pz+pkdYkONj7D+gXW+4G6OJsRi6V4=,15,28.0,female,9.0,2004-09-18
1993926,twlMhdS3SzyViSunLvkHJXh53UggiV1k5otLF1249UY=,15,35.0,male,9.0,2005-04-17
1994122,RWrwuCDr5zoOIfg5l7bGvtfURuKv4UUfoD7Ci2mP4uA=,13,26.0,male,9.0,2009-10-04
1994212,8LenOyhdQRb8Jvmw6kVlbatcvx5ywBalvNBc/AlqSSs=,13,50.0,female,9.0,2010-01-27
1994538,R03Q5chMbL46UuL+Gh29lVS6NQVMKQDaJ7wqrU16I7s=,5,51.0,female,9.0,2007-09-02
1994552,I5ZLqQb6G2MGYjNyFCZ9B6r1e7nUiiJ/uCukTpDXZFI=,5,39.0,female,9.0,2007-09-11
1994881,6ydmykMn6Fp4Rk/xFpHfq/Elb0kKHOCdTU6Q2pb+kLM=,13,22.0,female,9.0,2015-09-24
1995443,79hVHuW9z6zgWG2CtCFVpjndooIJPpy6+ABPzn7oFP8=,13,,,3.0,2013-01-26
1996080,L92YjzlrfJIzqFKF82JrkUdbUEP3rNRPuXT+PgekFdA=,22,37.0,,9.0,2012-07-24
1996202,LV5Cc2STDH20yuUGD5jsXF77rU68gq5vRIbQ6dj7iq8=,15,21.0,male,7.0,2012-08-27
1996758,obAj1ojBYK9smF4/XFu7TufvUG3YUEFxgUu4ZlCmg08=,6,26.0,male,9.0,2007-10-01
1996966,8lwGPEpe1sLcq1Oa6J1P1eiaBtXsF+No2JgYp9ANQA4=,13,23.0,female,3.0,2014-12-08
1997471,Bnhh+z/bsOlKdotqxgQ+UpLuyYvq6+jMGRUgSFI5D+I=,1,,,7.0,2013-08-29
1997481,R935V5UAFJWdKMlxFAS6VXxw4XJ704lVat0ijODp5GY=,5,22.0,female,7.0,2013-08-30
1997573,ZkKaae8RIpieqlzU2TL4kdsFdrco7bAD5EwFKD0ZHRU=,15,,,9.0,2013-09-13
1997604,225kDrCEWSEQNl/Xer3EILOO/tNAYKYpRQqqv4yE4Aw=,1,,,7.0,2013-09-16
1998026,9K2zMBbwSQunC9PTwcBsyHk93Avw+tDntGD3wtL07to=,13,26.0,female,3.0,2014-11-25
1998095,gLTWDmAeE1dMJtjkQ+7z0qW1kXAv+5DzKyc8sHBWkIQ=,1,,,7.0,2014-07-21
1998583,u/47xiMuh5ob0zEagaLPbPj6VlZZNxuvqtXN/yPo94U=,8,41.0,male,7.0,2016-07-08
1998908,NmeqYRfrdbCmkAxQxU+Cj7+TaxOakB+ZOmGOQEN6+XY=,1,,,7.0,2011-03-18
1999063,UsxjJq6k/EL02p75A7iszAWCoTFYaR0R0Y1TbdX3rI8=,22,28.0,male,7.0,2010-05-31
1999242,6z5s+ktRwavgYHqDP6iA9UOcXdRKLmHt3Z9AP52vE1w=,1,,,7.0,2010-10-11
1999270,QgAposavNdDPPTgL7/gl0agaswzBRIF5URHbnJROtGM=,1,,,7.0,2014-07-25
1999649,8tWEW3rSPQK0kRiE46zVFi4BuQFfzIBtAQrnWzMn1qQ=,5,32.0,female,9.0,2005-06-30
2000926,cbM3NTEyxepyb9F+TyOY5puC6z2SLHfA3TBS8kBjMow=,1,,,7.0,2016-05-19
2001524,tw6yOf8owYNErkdGBDJD8cWaYI0K+29OWVHFXli/4x0=,1,,,7.0,2017-01-03
2001896,CSwzy9BbZT8uTbYCnPD5T9L2KOk3Q/yOIVFzqfP3Ccc=,13,39.0,female,9.0,2011-04-13
2002011,fkJFQOQ5Fs5zS33efmRYKMnZTZy0adX544Y35aeuLH4=,1,,,7.0,2011-06-10
2002104,NK+GzpnjIL85YWavxrS1X2imgFJZnfXsESg1foHrB1U=,4,22.0,female,3.0,2013-10-08
2002109,tFAHwK896oVHUBnwxa89ST2zxEByrLdx3EKcdvrgpkY=,1,,,7.0,2013-10-08
2002146,09AgGdrFwy4XYyJ0jQO0W0mylG6gz4W8kklM8a+rdBc=,15,30.0,male,9.0,2013-10-13
2002988,I95wf6FGz3ViZmvmsV2zJH6cYJlSNJ7oz/lvvtnZ0Bk=,1,,,7.0,2013-07-30
2003216,aGg8dglX13faXYz0+wr/ehIWXKmVS/vV1U7PohxQWiA=,1,,,3.0,2013-09-07
2003594,QMYKHBY3luD16zhQ16dv+oKrpmoBCeUIaldFtx7JIi0=,5,48.0,male,7.0,2012-02-02
2003692,FWUbaTvjUT/77wrqP4hEGkaQnywSZoPjTNEHux3uOtY=,1,,,7.0,2012-03-04
2003869,NrGgYKyfgAQNfFwj8hwh903vKkanjnC5Tx2Hqk8YXEQ=,11,,,3.0,2013-10-12
2004163,76RmSua22j/2FmBacwwyaIY+q09V0iMYZTcKUGn/pVI=,1,,,7.0,2015-08-21
2004636,hPMi8KEJL8LsL3K+7Vhh1b+72sFp2BjMH4s6lVVRkO4=,1,,,7.0,2016-12-29
2005218,GWJxBrp9H9ZMbx/1uMCb1lfISGkI+evQQszGNsWdtfs=,1,,,7.0,2016-07-07
2005622,QRGRE+pzK/KkYDXCfpMxRdRRHVkzNtrt+vGgjZD2h54=,22,32.0,,9.0,2015-05-06
2005623,v5eDoGFV3gYEeZEN8I6YfQkfB/mTkx2h0xbX3367lxo=,15,,,7.0,2015-05-06
2006206,33DEbQ+eun3u/irqSkSdiGZATtqpRxw5AycPS55WxCo=,1,,,7.0,2017-02-04
2006491,N5O9Z1FiaY2H5sah7ITxwjdiBkduX8PrKpKnVc0WCUg=,22,34.0,male,4.0,2017-02-15
2007448,FgeHAOTCLVlME/WXaPuR/7ck1KZxim3V43o+6FfJTJE=,1,,,7.0,2013-11-04
2007607,s/MX0NLJ6aPGUeHWpsKsGklOoqbRghKeiFyAm723gh4=,5,41.0,female,7.0,2011-02-16
2007729,hYoisd33Pdyzh3CRNqd8LjPFatjpNR6ouF+fewPZmv4=,5,36.0,male,9.0,2011-04-05
2007944,9OgvzYrq53/MmlAJvpLGJcf0MIIVKwPEW/4Bm3nQbj4=,1,,,7.0,2016-07-13
2008173,lfuwgaeKbUpq8BNHY5stUGWWIiOSqNLPFwKKUlSjd30=,1,,,7.0,2015-11-14
2008348,LbnG3TNMyazVWjxx6bI4HjXWmgmgiHX3pmY5nvdKBJw=,1,,,7.0,2015-08-28
2009528,M7strIjXdq5KA82mOGQYcu1DxS9luhuEVnR1amizpy4=,5,22.0,female,3.0,2012-11-15
2010728,OsmCwHJRFi03vv1v8uTDXWKkuzGMemKCtkC/8ah6N5Q=,13,28.0,male,7.0,2012-06-26
2010792,RmXrWZvawka+rmIjBH4KfSFCAxf6SD3ktmeOJZwSn9o=,1,,,7.0,2012-07-17
2010982,bWy9pp8baGphlbBnZ83uA5n9FzrCQ0XbA6CB1Re2BLw=,14,30.0,female,7.0,2012-09-12
